CRASH_RECORD_ID,CRASH_DATE,WEATHER_CONDITION,ROADWAY_SURFACE_COND,LIGHTING_CONDITION,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,LATITUDE,LONGITUDE,LOCATION,crash_day,weather_unknown_flag,surface_unknown_flag
ab4138ebfb9f618fd5ceeba4bf337e1c4fdab010a7c4a4694a52447ee10cc389a4a89853b3a7fae7354b23feabdb4d5259aa02124ecf82460757a5808f7eae84,2025-06-29 19:00:00,CLEAR,WET,DAYLIGHT,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,0.0,0.0,41.8121455642,-87.7235955336,POINT (-87.723595533627 41.81214556422),2025-06-29,0,0
403f189d54ec4218adf91c1fec954a19bbd0e2ab2db0773a5d46e0422bc92b07f30a15acd9fb5669aeca8938f621538bd648796f8fc04eaa2e46ae01586d3edd,2025-06-29 16:15:00,CLEAR,WET,DAYLIGHT,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,2.0,0.0,41.7947797604,-87.6226145066,POINT (-87.622614506608 41.794779760394),2025-06-29,0,0
d889e3a619a3369acd76ee83a6ec7d024adc47e6210c43ec3a69bd95fe0ae4bdbf8ef26dc977e3863698ef5e06fe6e6cd0ccdd7536f964fbf6736b0bf40f94df,2025-06-29 16:02:00,CLEAR,WET,DAYLIGHT,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,2.0,0.0,41.8099047773,-87.7005134799,POINT (-87.70051347994 41.809904777308),2025-06-29,0,0
3326c3fb05eaa28160afa7efaf52c757d98d492ba223a06b6667218cf2c5ce4c1847163e433d0eb2df78ce5ebd8280b4b100a11b3d28b15a549b2259a25aa051,2025-06-29 14:37:00,CLEAR,WET,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.7841156491,-87.5932782322,POINT (-87.593278232183 41.78411564912),2025-06-29,0,0
dad0b5cca08802273dd84698c26756ff6437e6dfd24ffdab9d332352e0ad1f7c33f56c0600c35805416fb5804563e7408a6f5a5de48e33addd34a4a836010304,2025-06-29 11:58:00,CLEAR,WET,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.9009589191,-87.6199281737,POINT (-87.619928173678 41.900958919109),2025-06-29,0,0
7ed946707c6536eeaa5e45c78d5df601e306bb8e21e87270dcebf2b9ddc1b0e9280f309f7bd67e60e05c26abf75c704ab6590a62e9aa9d1575e125e1a78fdd9a,2025-06-28 12:42:00,CLEAR,WET,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.8656338841,-87.7695539869,POINT (-87.769553986929 41.865633884146),2025-06-28,0,0
1f931df1f825a3909ede844422c15419e5face64096cabec619b81f769684bd23dd7f7ae77d32292a57da0d2c2a0ea35fccc42c1dbd6791a22f983bbc4c0ce3a,2025-06-28 01:15:00,CLEAR,SNOW OR SLUSH,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.9096720015,-87.7462613036,POINT (-87.74626130363 41.90967200151),2025-06-28,0,0
2f9ad2c94d4023c941c32c4627f217db42be9df488a503b0b606ea01042be4e9c9ec4e0e2aa3c6d81b1eb9850f60d75cecb61a61534c6bf986d70d30a247bc33,2025-06-26 17:38:00,CLEAR,WET,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.9607899166,-87.7511500243,POINT (-87.751150024332 41.960789916552),2025-06-26,0,0
4c7e3550a2436b5cdde7e4a94dc55abd0331ee649bc896b86d12b1f5639e42d67aa8cbec0acdf6783accda6c0dd8123875e88c54813a263d1364dc3e3f6bbddb,2025-06-25 08:47:00,CLEAR,WET,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.9975330976,-87.7789297984,POINT (-87.778929798385 41.997533097605),2025-06-25,0,0
a1771d062255f029d60aff5e3fcbc5b3db50918e36eb57dd41096e62a7a7408f6ec36d3d0550c749e4e372f761e5bdd99c7f9a990c72aa4bc3e6e7242e540f81,2025-06-25 08:30:00,CLEAR,WET,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.7830176115,-87.6644540123,POINT (-87.664454012253 41.783017611514),2025-06-25,0,0
baaba3a1ed01429e3707b7fd455df10986a3efd4324438f3b54e9bfcdb1d734839ddd5ef096e0ec2a43df2f5970bc2ed8988dec25b95261d85338684a61fe7f5,2025-06-25 08:00:00,CLEAR,WET,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.9559047471,-87.7278271139,POINT (-87.727827113856 41.955904747142),2025-06-25,0,0
