CRASH_RECORD_ID,CRASH_DATE,WEATHER_CONDITION,ROADWAY_SURFACE_COND,LIGHTING_CONDITION,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,LATITUDE,LONGITUDE,LOCATION,crash_day,weather_unknown_flag,surface_unknown_flag
9ff7aac407a9688cd3f83f6cf324aa632a0b030c50c51efb23ab4ce27d3884a8808f37b63a2287a1cf4055a6ed2018baaa390e231f785bacbe28e7bcaeb6d5e2,2025-06-25 21:30:00,BLOWING SNOW,DRY,DAYLIGHT,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,41.749362768,-87.605332981,POINT (-87.605332981011 41.749362768013),2025-06-25,0,0
23b1564765bfe4876a486d4302f743d83f13b19c8ea5966c79703598ce493df2a1830fb4a035612893bd245c769b030bdf8c6a12e4214a9af882c3c5f4a5f892,2025-06-08 18:30:00,FREEZING RAIN/DRIZZLE,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,5.0,0.0,41.8541331042,-87.6427187382,POINT (-87.642718738212 41.854133104205),2025-06-08,0,0
14089f0a929db69c4cd3ce4678d92cec113ddb27c47c33b8a480b00b73355ddd398df81e893257ac28bd0c7771b8a33524e4f5287decc8176207fb02e41cc25c,2025-05-28 07:38:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.7358828635,-87.6629207312,POINT (-87.66292073121 41.735882863533),2025-05-28,0,0
a6367b1dec9106617d6e4e7b1c37c0f47f6d5757f6e6661076c1c8f7c7562c000ee92ff04276f689cb9614417e4eb569dbcfc863af3ac6bcf381186dd3cac4c3,2025-05-21 16:30:00,FREEZING RAIN/DRIZZLE,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,41.6910171166,-87.7201592071,POINT (-87.720159207106 41.691017116554),2025-05-21,0,0
19ec45fc28abafe143169d1410c495f754d069d09759afc3494d3a2b74496610756ff2a75a8022d3cdd6abc957f0d43959a9150deedcbab468ae82c9e02baf18,2025-05-19 10:03:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.7357852665,-87.6437588296,POINT (-87.643758829628 41.735785266472),2025-05-19,0,0
075b1992233dc8a26b08f952e2cb93ad86026e5dbd49804f9bfdf7cc5e77f182513421e5defaf6d607d5d28eb819dd6c4d6cd80593eed819303c4b5fcd249281,2025-04-29 17:15:00,SNOW,DRY,DAYLIGHT,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,2.0,0.0,41.7952959821,-87.7034649215,POINT (-87.703464921522 41.795295982115),2025-04-29,0,0
c5300c71ce41dda47f19fe04f5199ad2b8abad5d4b4e81a429722249ba12c871aa21ddd987e991d03663409b8ce18c396efbbdad5a406a826edf8bbcf02812a3,2025-04-26 12:10:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.9007837799,-87.6281714454,POINT (-87.628171445442 41.900783779921),2025-04-26,0,0
722198d7255e5946a216ece08f5c1288387024a34667f729028eef9648509db1eb4f5dd3cb961f7e44fda8e6fae787b2c3161a12817d91ee90768a7f51ff279e,2025-04-05 04:42:00,FREEZING RAIN/DRIZZLE,DRY,DARKNESS,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.7481942033,-87.7411584652,POINT (-87.741158465162 41.74819420327),2025-04-05,0,0
21c3a0c59dc2aca23aadf815a75415c09ffd180d364c3f27de8001ecab82be801ae57c2a11029ed88b69fc4ec5c3dcbea97c76046e8b95aa58fdd1bd2d8a34a5,2025-03-01 06:13:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.7616091895,-87.5898098154,POINT (-87.589809815364 41.761609189486),2025-03-01,0,0
a8e22cffb150f53f91ed0abcc28ec22aa1acbb74b3b342d82c4f68f52ffa9982c24ec34461897d1fceb41e866caca2c3c9ac879a0f8b69f1b2b31bd22281ead8,2025-03-01 06:05:00,BLOWING SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.7838773022,-87.6222670574,POINT (-87.622267057444 41.783877302206),2025-03-01,0,0
