crash_day,daily_crash_count,daily_injuries_total,daily_injuries_fatal,daily_injuries_incapacitating,daily_unknown_weather_count,daily_unknown_surface_count
2025-01-01,26,5.0,0.0,1.0,0,4
2025-01-02,188,46.0,0.0,1.0,27,28
2025-01-03,209,33.0,0.0,2.0,23,39
2025-01-04,207,37.0,0.0,3.0,24,35
2025-01-05,186,31.0,1.0,3.0,14,25
2025-01-06,325,42.0,0.0,1.0,42,46
2025-01-07,290,56.0,0.0,2.0,35,50
2025-01-08,258,54.0,0.0,2.0,41,54
2025-01-09,289,66.0,0.0,6.0,38,70
2025-01-10,391,76.0,0.0,3.0,24,37
2025-01-11,282,68.0,0.0,3.0,39,54
2025-01-12,189,50.0,0.0,5.0,24,26
2025-01-13,278,69.0,0.0,6.0,25,49
2025-01-14,363,66.0,0.0,4.0,39,61
2025-01-15,282,60.0,0.0,0.0,28,59
2025-01-16,295,68.0,1.0,6.0,26,57
2025-01-17,332,61.0,0.0,3.0,28,70
2025-01-18,247,66.0,0.0,3.0,25,48
2025-01-19,196,51.0,0.0,2.0,19,34
2025-01-20,167,32.0,0.0,2.0,21,34
2025-01-21,212,43.0,0.0,4.0,30,50
2025-01-22,299,64.0,0.0,2.0,31,50
2025-01-23,315,86.0,0.0,4.0,41,68
2025-01-24,370,72.0,1.0,4.0,32,67
2025-01-25,262,63.0,0.0,4.0,18,37
2025-01-26,189,50.0,0.0,9.0,14,25
2025-01-27,237,67.0,0.0,2.0,19,39
2025-01-28,280,63.0,1.0,3.0,25,56
2025-01-29,259,57.0,0.0,3.0,16,37
2025-01-30,294,73.0,0.0,7.0,21,34
2025-01-31,317,67.0,2.0,1.0,27,39
2025-02-01,228,47.0,1.0,2.0,32,55
2025-02-02,208,73.0,0.0,2.0,28,36
2025-02-03,221,51.0,0.0,6.0,17,41
2025-02-04,225,39.0,0.0,2.0,19,37
2025-02-05,329,51.0,0.0,3.0,36,39
2025-02-06,765,65.0,0.0,4.0,128,83
2025-02-07,273,53.0,0.0,2.0,25,42
2025-02-08,234,44.0,1.0,7.0,31,41
2025-02-09,221,60.0,1.0,3.0,17,35
2025-02-10,255,63.0,0.0,3.0,22,35
2025-02-11,233,56.0,0.0,3.0,19,34
2025-02-12,293,45.0,0.0,1.0,21,30
2025-02-13,307,79.0,0.0,1.0,30,49
2025-02-14,385,79.0,0.0,4.0,31,52
2025-02-15,225,39.0,0.0,1.0,36,47
2025-02-16,194,41.0,0.0,2.0,20,34
2025-02-17,214,45.0,0.0,3.0,16,30
2025-02-18,278,47.0,0.0,1.0,33,54
2025-02-19,234,51.0,0.0,4.0,23,39
2025-02-20,284,63.0,0.0,8.0,22,46
2025-02-21,321,65.0,0.0,4.0,31,52
2025-02-22,271,72.0,0.0,5.0,27,47
2025-02-23,192,45.0,0.0,2.0,21,32
2025-02-24,269,42.0,0.0,4.0,27,36
2025-02-25,285,69.0,0.0,2.0,16,45
2025-02-26,224,57.0,0.0,8.0,9,27
2025-02-27,288,55.0,0.0,2.0,22,45
2025-02-28,308,43.0,0.0,1.0,20,47
2025-03-01,231,50.0,0.0,3.0,20,26
2025-03-02,245,57.0,0.0,2.0,33,47
2025-03-03,242,54.0,0.0,2.0,24,41
2025-03-04,260,55.0,0.0,5.0,19,33
2025-03-05,312,71.0,0.0,6.0,32,45
2025-03-06,284,51.0,0.0,3.0,32,47
2025-03-07,360,80.0,0.0,0.0,41,50
2025-03-08,289,94.0,2.0,2.0,24,31
2025-03-09,250,62.0,0.0,5.0,24,35
2025-03-10,293,77.0,0.0,4.0,21,39
2025-03-11,264,52.0,0.0,5.0,16,30
2025-03-12,282,62.0,0.0,2.0,21,41
2025-03-13,280,49.0,2.0,4.0,17,33
2025-03-14,384,80.0,1.0,5.0,34,54
2025-03-15,338,66.0,0.0,6.0,43,72
2025-03-16,277,49.0,0.0,6.0,27,43
2025-03-17,283,77.0,1.0,3.0,11,32
2025-03-18,307,63.0,0.0,10.0,21,34
2025-03-19,329,73.0,1.0,7.0,26,30
2025-03-20,320,62.0,0.0,5.0,38,44
2025-03-21,333,52.0,0.0,6.0,27,51
2025-03-22,261,42.0,0.0,6.0,29,45
2025-03-23,239,66.0,1.0,7.0,25,41
2025-03-24,245,65.0,0.0,2.0,26,39
2025-03-25,260,56.0,0.0,2.0,18,34
2025-03-26,227,56.0,0.0,3.0,22,34
2025-03-27,217,57.0,1.0,5.0,12,28
2025-03-28,346,86.0,0.0,8.0,34,57
2025-03-29,294,89.0,0.0,4.0,25,47
