crash_day,daily_crash_count,daily_injuries_total,daily_injuries_fatal,daily_injuries_incapacitating,daily_unknown_weather_count,daily_unknown_surface_count,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wet_day,snow_day,daily_unknown_weather_share,daily_unknown_surface_share
2025-01-01,26,5.0,0.0,1.0,0,4,71,-1.1,0.8,-3.0,0.1,0.0,0.07,1.0,1,1,0.0,0.15384615384615385
2025-01-02,188,46.0,0.0,1.0,27,28,71,-2.4,-0.3,-4.2,0.2,0.0,0.14,2.0,1,1,0.14361702127659576,0.14893617021276595
2025-01-03,209,33.0,0.0,2.0,23,39,3,-4.9,-3.0,-6.9,0.0,0.0,0.0,0.0,0,0,0.11004784688995216,0.18660287081339713
2025-01-04,207,37.0,0.0,3.0,24,35,3,-8.0,-5.1,-10.9,0.0,0.0,0.0,0.0,0,0,0.11594202898550725,0.16908212560386474
2025-01-05,186,31.0,1.0,3.0,14,25,71,-6.6,-2.3,-9.0,0.4,0.1,0.21,3.0,1,1,0.07526881720430108,0.13440860215053763
2025-01-06,325,42.0,0.0,1.0,42,46,73,-2.1,-0.9,-4.1,3.2,0.1,2.17,13.0,1,1,0.12923076923076923,0.14153846153846153
2025-01-07,290,56.0,0.0,2.0,35,50,3,-6.1,-4.1,-8.6,0.0,0.0,0.0,0.0,0,0,0.1206896551724138,0.1724137931034483
2025-01-08,258,54.0,0.0,2.0,41,54,3,-7.0,-4.1,-10.2,0.0,0.0,0.0,0.0,0,0,0.15891472868217055,0.20930232558139536
2025-01-09,289,66.0,0.0,6.0,38,70,3,-7.5,-3.8,-11.6,0.0,0.0,0.0,0.0,0,0,0.1314878892733564,0.2422145328719723
2025-01-10,391,76.0,0.0,3.0,24,37,73,-3.7,-2.0,-6.6,4.0,0.0,2.8,14.0,1,1,0.061381074168797956,0.09462915601023018
2025-01-11,282,68.0,0.0,3.0,39,54,3,-3.3,-0.9,-6.0,0.0,0.0,0.0,0.0,0,0,0.13829787234042554,0.19148936170212766
2025-01-12,189,50.0,0.0,5.0,24,26,73,-1.5,1.5,-4.1,2.1,0.1,1.4,9.0,1,1,0.12698412698412698,0.13756613756613756
2025-01-13,278,69.0,0.0,6.0,25,49,3,-9.6,-4.7,-12.7,0.0,0.0,0.0,0.0,0,0,0.08992805755395683,0.17625899280575538
2025-01-14,363,66.0,0.0,4.0,39,61,73,-11.7,-9.0,-12.9,1.4,0.0,0.98,5.0,1,1,0.10743801652892562,0.16804407713498623
2025-01-15,282,60.0,0.0,0.0,28,59,71,-12.3,-8.4,-15.7,0.1,0.0,0.07,1.0,1,1,0.09929078014184398,0.20921985815602837
2025-01-16,295,68.0,1.0,6.0,26,57,71,-2.2,2.2,-8.0,0.4,0.0,0.28,3.0,1,1,0.08813559322033898,0.19322033898305085
2025-01-17,332,61.0,0.0,3.0,28,70,3,0.3,5.1,-4.8,0.0,0.0,0.0,0.0,0,0,0.08433734939759036,0.21084337349397592
2025-01-18,247,66.0,0.0,3.0,25,48,3,-2.0,3.7,-6.9,0.0,0.0,0.0,0.0,0,0,0.10121457489878542,0.19433198380566802
2025-01-19,196,51.0,0.0,2.0,19,34,3,-13.0,-8.1,-16.1,0.0,0.0,0.0,0.0,0,0,0.09693877551020408,0.17346938775510204
2025-01-20,167,32.0,0.0,2.0,21,34,3,-15.1,-11.7,-18.5,0.0,0.0,0.0,0.0,0,0,0.12574850299401197,0.20359281437125748
2025-01-21,212,43.0,0.0,4.0,30,50,3,-18.4,-15.4,-21.0,0.0,0.0,0.0,0.0,0,0,0.14150943396226415,0.2358490566037736
2025-01-22,299,64.0,0.0,2.0,31,50,71,-11.0,-4.9,-18.2,0.8,0.0,0.56,7.0,1,1,0.10367892976588629,0.16722408026755853
2025-01-23,315,86.0,0.0,4.0,41,68,71,-8.4,-4.2,-12.9,0.9,0.0,0.63,7.0,1,1,0.13015873015873017,0.21587301587301588
2025-01-24,370,72.0,1.0,4.0,32,67,3,-11.9,-7.1,-16.5,0.0,0.0,0.0,0.0,0,0,0.08648648648648649,0.1810810810810811
2025-01-25,262,63.0,0.0,4.0,18,37,3,-2.5,2.8,-6.7,0.0,0.0,0.0,0.0,0,0,0.06870229007633588,0.14122137404580154
2025-01-26,189,50.0,0.0,9.0,14,25,3,-4.6,-1.1,-7.9,0.0,0.0,0.0,0.0,0,0,0.07407407407407407,0.13227513227513227
2025-01-27,237,67.0,0.0,2.0,19,39,3,-1.9,4.2,-7.3,0.0,0.0,0.0,0.0,0,0,0.08016877637130802,0.16455696202531644
2025-01-28,280,63.0,1.0,3.0,25,56,3,2.4,6.8,-2.6,0.0,0.0,0.0,0.0,0,0,0.08928571428571429,0.2
2025-01-29,259,57.0,0.0,3.0,16,37,3,3.7,6.4,0.5,0.0,0.0,0.0,0.0,0,0,0.06177606177606178,0.14285714285714285
2025-01-30,294,73.0,0.0,7.0,21,34,65,2.8,8.4,-2.4,15.9,15.9,0.0,5.0,1,0,0.07142857142857142,0.11564625850340136
2025-01-31,317,67.0,2.0,1.0,27,39,63,2.5,4.2,1.0,30.8,30.8,0.0,16.0,1,0,0.08517350157728706,0.12302839116719243
2025-02-01,228,47.0,1.0,2.0,32,55,3,-1.0,0.9,-2.1,0.0,0.0,0.0,0.0,0,0,0.14035087719298245,0.2412280701754386
2025-02-02,208,73.0,0.0,2.0,28,36,71,3.3,8.8,-0.6,0.5,0.1,0.28,3.0,1,1,0.1346153846153846,0.17307692307692307
