crash_day,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wet_day,snow_day
2025-01-01,71,-1.1,0.8,-3.0,0.1,0.0,0.07,1.0,1,1
2025-01-02,71,-2.4,-0.3,-4.2,0.2,0.0,0.14,2.0,1,1
2025-01-03,3,-4.9,-3.0,-6.9,0.0,0.0,0.0,0.0,0,0
2025-01-04,3,-8.0,-5.1,-10.9,0.0,0.0,0.0,0.0,0,0
2025-01-05,71,-6.6,-2.3,-9.0,0.4,0.1,0.21,3.0,1,1
2025-01-06,73,-2.1,-0.9,-4.1,3.2,0.1,2.17,13.0,1,1
2025-01-07,3,-6.1,-4.1,-8.6,0.0,0.0,0.0,0.0,0,0
2025-01-08,3,-7.0,-4.1,-10.2,0.0,0.0,0.0,0.0,0,0
2025-01-09,3,-7.5,-3.8,-11.6,0.0,0.0,0.0,0.0,0,0
2025-01-10,73,-3.7,-2.0,-6.6,4.0,0.0,2.8,14.0,1,1
2025-01-11,3,-3.3,-0.9,-6.0,0.0,0.0,0.0,0.0,0,0
2025-01-12,73,-1.5,1.5,-4.1,2.1,0.1,1.4,9.0,1,1
2025-01-13,3,-9.6,-4.7,-12.7,0.0,0.0,0.0,0.0,0,0
2025-01-14,73,-11.7,-9.0,-12.9,1.4,0.0,0.98,5.0,1,1
2025-01-15,71,-12.3,-8.4,-15.7,0.1,0.0,0.07,1.0,1,1
2025-01-16,71,-2.2,2.2,-8.0,0.4,0.0,0.28,3.0,1,1
2025-01-17,3,0.3,5.1,-4.8,0.0,0.0,0.0,0.0,0,0
2025-01-18,3,-2.0,3.7,-6.9,0.0,0.0,0.0,0.0,0,0
2025-01-19,3,-13.0,-8.1,-16.1,0.0,0.0,0.0,0.0,0,0
2025-01-20,3,-15.1,-11.7,-18.5,0.0,0.0,0.0,0.0,0,0
2025-01-21,3,-18.4,-15.4,-21.0,0.0,0.0,0.0,0.0,0,0
2025-01-22,71,-11.0,-4.9,-18.2,0.8,0.0,0.56,7.0,1,1
2025-01-23,71,-8.4,-4.2,-12.9,0.9,0.0,0.63,7.0,1,1
2025-01-24,3,-11.9,-7.1,-16.5,0.0,0.0,0.0,0.0,0,0
2025-01-25,3,-2.5,2.8,-6.7,0.0,0.0,0.0,0.0,0,0
2025-01-26,3,-4.6,-1.1,-7.9,0.0,0.0,0.0,0.0,0,0
2025-01-27,3,-1.9,4.2,-7.3,0.0,0.0,0.0,0.0,0,0
2025-01-28,3,2.4,6.8,-2.6,0.0,0.0,0.0,0.0,0,0
2025-01-29,3,3.7,6.4,0.5,0.0,0.0,0.0,0.0,0,0
2025-01-30,65,2.8,8.4,-2.4,15.9,15.9,0.0,5.0,1,0
2025-01-31,63,2.5,4.2,1.0,30.8,30.8,0.0,16.0,1,0
2025-02-01,3,-1.0,0.9,-2.1,0.0,0.0,0.0,0.0,0,0
2025-02-02,71,3.3,8.8,-0.6,0.5,0.1,0.28,3.0,1,1
2025-02-03,3,3.5,7.2,1.2,0.0,0.0,0.0,0.0,0,0
2025-02-04,3,-2.9,0.9,-4.7,0.0,0.0,0.0,0.0,0,0
2025-02-05,71,-2.3,-0.2,-3.8,0.9,0.7,0.14,4.0,1,1
2025-02-06,71,0.5,2.7,-1.2,1.1,0.8,0.21,6.0,1,1
2025-02-07,3,-4.0,-0.7,-7.8,0.0,0.0,0.0,0.0,0,0
2025-02-08,71,-1.1,0.2,-2.5,0.4,0.0,0.28,4.0,1,1
2025-02-09,3,-2.6,-0.9,-4.5,0.0,0.0,0.0,0.0,0,0
2025-02-10,3,-3.9,0.1,-8.6,0.0,0.0,0.0,0.0,0,0
2025-02-11,71,-3.7,-2.8,-4.4,0.4,0.0,0.28,3.0,1,1
2025-02-12,75,-3.3,-2.6,-4.1,8.9,0.1,6.16,17.0,1,1
2025-02-13,71,-9.2,-2.8,-14.6,0.9,0.1,0.56,8.0,1,1
2025-02-14,75,-10.9,-3.8,-18.1,4.9,0.0,3.43,4.0,1,1
2025-02-15,3,-1.2,-0.2,-3.3,0.0,0.0,0.0,0.0,0,0
2025-02-16,71,-4.7,-1.3,-11.6,0.8,0.0,0.56,7.0,1,1
2025-02-17,3,-15.6,-12.6,-17.4,0.0,0.0,0.0,0.0,0,0
2025-02-18,3,-17.9,-14.3,-21.9,0.0,0.0,0.0,0.0,0,0
2025-02-19,71,-14.1,-11.4,-16.2,0.1,0.0,0.07,1.0,1,1
2025-02-20,3,-11.7,-7.7,-16.2,0.0,0.0,0.0,0.0,0,0
2025-02-21,0,-8.5,-4.6,-12.6,0.0,0.0,0.0,0.0,0,0
2025-02-22,3,-5.4,-1.1,-10.0,0.0,0.0,0.0,0.0,0,0
2025-02-23,3,-0.4,4.9,-5.4,0.0,0.0,0.0,0.0,0,0
2025-02-24,51,6.6,11.4,2.7,0.3,0.3,0.0,3.0,1,0
2025-02-25,61,5.4,10.6,1.9,2.1,2.1,0.0,2.0,1,0
2025-02-26,53,3.6,8.1,1.4,1.3,1.3,0.0,6.0,1,0
2025-02-27,51,4.4,8.6,1.1,1.1,1.1,0.0,6.0,1,0
2025-02-28,3,6.2,13.2,0.8,0.0,0.0,0.0,0.0,0,0
2025-03-01,3,-3.2,1.9,-4.7,0.0,0.0,0.0,0.0,0,0
2025-03-02,3,-3.2,0.6,-7.8,0.0,0.0,0.0,0.0,0,0
2025-03-03,3,3.0,7.7,-1.5,0.0,0.0,0.0,0.0,0,0
2025-03-04,61,7.6,11.1,5.2,10.9,10.9,0.0,10.0,1,0
2025-03-05,73,6.0,10.8,-1.1,11.6,10.3,0.91,20.0,1,1
2025-03-06,3,0.3,4.2,-2.5,0.0,0.0,0.0,0.0,0,0
2025-03-07,73,0.8,1.9,0.2,3.9,1.3,1.82,12.0,1,1
2025-03-08,3,3.2,9.1,-1.5,0.0,0.0,0.0,0.0,0,0
2025-03-09,2,6.6,13.1,0.4,0.0,0.0,0.0,0.0,0,0
2025-03-10,1,10.6,17.6,3.8,0.0,0.0,0.0,0.0,0,0
2025-03-11,3,5.8,12.6,0.8,0.0,0.0,0.0,0.0,0,0
2025-03-12,2,3.7,6.6,1.1,0.0,0.0,0.0,0.0,0,0
2025-03-13,2,5.2,9.6,0.9,0.0,0.0,0.0,0.0,0,0
2025-03-14,51,15.8,23.3,8.5,0.2,0.2,0.0,1.0,1,0
2025-03-15,63,15.0,19.6,6.7,10.2,10.2,0.0,5.0,1,0
2025-03-16,73,1.4,5.6,-1.0,13.4,7.2,4.34,17.0,1,1
2025-03-17,71,3.3,10.2,-3.5,0.2,0.1,0.07,1.0,1,1
2025-03-18,3,12.8,19.6,7.3,0.0,0.0,0.0,0.0,0,0
2025-03-19,65,6.2,12.8,2.7,14.1,14.1,0.0,7.0,1,0
2025-03-20,75,2.0,4.9,0.3,5.9,0.8,3.57,9.0,1,1
2025-03-21,51,6.1,13.4,-1.0,0.2,0.2,0.0,1.0,1,0
2025-03-22,71,2.9,7.4,0.9,0.2,0.0,0.14,2.0,1,1
2025-03-23,63,4.9,9.1,1.6,7.4,7.4,0.0,5.0,1,0
2025-03-24,3,4.2,8.4,0.9,0.0,0.0,0.0,0.0,0,0
2025-03-25,71,3.0,6.8,0.2,0.6,0.5,0.07,1.0,1,1
2025-03-26,75,3.1,6.4,-0.8,1.6,0.2,0.98,3.0,1,1
2025-03-27,3,8.2,12.9,4.1,0.0,0.0,0.0,0.0,0,0
2025-03-28,61,15.4,24.2,6.9,6.7,6.7,0.0,6.0,1,0
2025-03-29,51,17.2,20.3,11.6,0.7,0.7,0.0,5.0,1,0
2025-03-30,63,15.7,22.0,7.7,5.4,5.4,0.0,10.0,1,0
2025-03-31,51,4.0,6.8,1.7,0.9,0.9,0.0,6.0,1,0
2025-04-01,3,3.0,6.2,0.6,0.0,0.0,0.0,0.0,0,0
2025-04-02,63,11.5,20.7,5.2,20.9,20.9,0.0,12.0,1,0
2025-04-03,51,9.9,15.6,5.8,0.1,0.1,0.0,1.0,1,0
2025-04-04,55,6.0,7.3,4.4,2.9,2.9,0.0,7.0,1,0
2025-04-05,61,6.6,10.6,4.6,5.5,5.5,0.0,6.0,1,0
2025-04-06,3,4.6,6.2,2.8,0.0,0.0,0.0,0.0,0,0
2025-04-07,71,2.3,5.8,-0.2,0.7,0.4,0.21,4.0,1,1
2025-04-08,3,0.9,3.6,-2.3,0.0,0.0,0.0,0.0,0,0
2025-04-09,53,3.4,7.7,0.2,2.2,2.2,0.0,6.0,1,0
2025-04-10,3,3.5,5.5,2.2,0.0,0.0,0.0,0.0,0,0
2025-04-11,3,5.0,7.9,2.3,0.0,0.0,0.0,0.0,0,0
2025-04-12,51,7.2,12.3,0.7,0.3,0.3,0.0,1.0,1,0
2025-04-13,51,12.3,16.6,7.6,0.7,0.7,0.0,3.0,1,0
2025-04-14,3,14.2,18.0,10.6,0.0,0.0,0.0,0.0,0,0
2025-04-15,53,8.1,10.6,4.4,1.2,1.2,0.0,6.0,1,0
2025-04-16,3,5.0,7.2,2.5,0.0,0.0,0.0,0.0,0,0
2025-04-17,53,11.9,20.1,4.2,0.6,0.6,0.0,1.0,1,0
2025-04-18,51,20.2,27.0,14.0,0.7,0.7,0.0,4.0,1,0
2025-04-19,53,10.8,17.9,6.8,0.8,0.8,0.0,3.0,1,0
2025-04-20,61,11.0,14.2,7.8,2.0,2.0,0.0,4.0,1,0
2025-04-21,65,13.2,16.1,8.8,11.9,11.9,0.0,5.0,1,0
2025-04-22,63,13.1,20.6,5.9,6.9,6.9,0.0,4.0,1,0
2025-04-23,63,15.6,20.9,12.4,7.0,7.0,0.0,4.0,1,0
2025-04-24,3,13.3,18.1,7.7,0.0,0.0,0.0,0.0,0,0
2025-04-25,51,9.4,12.9,8.0,0.1,0.1,0.0,1.0,1,0
2025-04-26,3,7.6,9.2,5.6,0.0,0.0,0.0,0.0,0,0
2025-04-27,3,10.9,16.5,4.2,0.0,0.0,0.0,0.0,0,0
2025-04-28,3,19.6,27.6,10.8,0.0,0.0,0.0,0.0,0,0
2025-04-29,3,19.7,24.1,9.6,0.0,0.0,0.0,0.0,0,0
2025-04-30,51,11.4,14.6,7.4,0.2,0.2,0.0,2.0,1,0
2025-05-01,63,16.0,21.4,10.8,17.9,17.9,0.0,16.0,1,0
2025-05-02,51,9.8,13.8,7.3,0.9,0.9,0.0,5.0,1,0
2025-05-03,3,7.5,8.8,6.4,0.0,0.0,0.0,0.0,0,0
2025-05-04,63,7.6,10.1,6.3,5.7,5.7,0.0,5.0,1,0
2025-05-05,53,10.1,13.8,7.4,1.5,1.5,0.0,5.0,1,0
2025-05-06,3,15.0,22.5,8.4,0.0,0.0,0.0,0.0,0,0
2025-05-07,3,12.0,18.1,8.0,0.0,0.0,0.0,0.0,0,0
2025-05-08,3,9.1,11.9,6.7,0.0,0.0,0.0,0.0,0,0
2025-05-09,1,10.3,14.9,5.7,0.0,0.0,0.0,0.0,0,0
2025-05-10,0,12.3,22.0,9.0,0.0,0.0,0.0,0.0,0,0
2025-05-11,0,12.9,18.0,7.3,0.0,0.0,0.0,0.0,0,0
2025-05-12,55,17.3,21.8,11.9,1.1,1.1,0.0,2.0,1,0
2025-05-13,3,17.3,22.5,12.9,0.0,0.0,0.0,0.0,0,0
2025-05-14,3,15.4,21.0,11.9,0.0,0.0,0.0,0.0,0,0
2025-05-15,61,22.7,32.2,14.1,3.2,3.2,0.0,5.0,1,0
2025-05-16,53,23.8,29.5,17.9,0.6,0.6,0.0,1.0,1,0
2025-05-17,51,16.2,19.2,12.4,0.1,0.1,0.0,1.0,1,0
2025-05-18,3,11.9,14.8,8.2,0.0,0.0,0.0,0.0,0,0
2025-05-19,3,8.6,12.3,6.5,0.0,0.0,0.0,0.0,0,0
2025-05-20,63,11.6,13.8,9.3,22.2,22.2,0.0,18.0,1,0
2025-05-21,53,10.4,12.1,9.4,4.0,4.0,0.0,17.0,1,0
2025-05-22,51,9.9,11.5,8.6,0.9,0.9,0.0,7.0,1,0
2025-05-23,3,10.0,14.1,6.7,0.0,0.0,0.0,0.0,0,0
2025-05-24,3,11.1,13.9,7.4,0.0,0.0,0.0,0.0,0,0
2025-05-25,51,12.0,14.9,10.3,0.4,0.4,0.0,3.0,1,0
2025-05-26,3,11.8,15.6,8.6,0.0,0.0,0.0,0.0,0,0
2025-05-27,51,13.3,16.1,10.6,0.1,0.1,0.0,1.0,1,0
2025-05-28,63,12.6,15.0,10.3,9.8,9.8,0.0,8.0,1,0
2025-05-29,51,15.0,20.3,9.9,0.2,0.2,0.0,1.0,1,0
2025-05-30,61,18.5,25.5,11.8,2.7,2.7,0.0,4.0,1,0
2025-05-31,0,12.1,17.6,9.9,0.0,0.0,0.0,0.0,0,0
2025-06-01,1,12.9,16.4,8.4,0.0,0.0,0.0,0.0,0,0
2025-06-02,3,20.7,29.8,10.6,0.0,0.0,0.0,0.0,0,0
2025-06-03,53,25.9,31.8,20.0,0.9,0.9,0.0,2.0,1,0
2025-06-04,63,16.4,23.8,13.1,31.8,31.8,0.0,15.0,1,0
2025-06-05,3,13.9,18.0,10.8,0.0,0.0,0.0,0.0,0,0
2025-06-06,3,16.1,20.0,13.2,0.0,0.0,0.0,0.0,0,0
2025-06-07,51,16.7,20.5,12.6,0.3,0.3,0.0,1.0,1,0
2025-06-08,55,19.2,25.9,14.0,3.5,3.5,0.0,8.0,1,0
2025-06-09,63,17.3,22.1,13.4,8.9,8.9,0.0,3.0,1,0
2025-06-10,3,19.4,25.9,13.2,0.0,0.0,0.0,0.0,0,0
2025-06-11,3,25.5,33.1,17.1,0.0,0.0,0.0,0.0,0,0
2025-06-12,51,21.1,25.2,15.9,0.2,0.2,0.0,1.0,1,0
2025-06-13,53,18.7,21.9,15.4,2.5,2.5,0.0,10.0,1,0
2025-06-14,3,16.9,20.2,14.9,0.0,0.0,0.0,0.0,0,0
2025-06-15,3,18.5,23.9,14.4,0.0,0.0,0.0,0.0,0,0
2025-06-16,3,22.3,28.0,16.0,0.0,0.0,0.0,0.0,0,0
2025-06-17,61,26.7,33.5,21.1,2.7,2.7,0.0,2.0,1,0
2025-06-18,65,21.7,24.7,18.5,41.1,41.1,0.0,15.0,1,0
2025-06-19,61,21.4,25.7,18.7,9.3,9.3,0.0,17.0,1,0
2025-06-20,3,23.4,27.3,19.2,0.0,0.0,0.0,0.0,0,0
2025-06-21,3,28.4,33.2,23.5,0.0,0.0,0.0,0.0,0,0
2025-06-22,1,30.1,34.2,25.7,0.0,0.0,0.0,0.0,0,0
2025-06-23,3,30.9,35.6,25.9,0.0,0.0,0.0,0.0,0,0
2025-06-24,63,27.5,35.2,22.5,9.8,9.8,0.0,7.0,1,0
2025-06-25,61,23.2,26.0,20.9,2.8,2.8,0.0,5.0,1,0
2025-06-26,63,27.2,30.6,24.2,7.5,7.5,0.0,5.0,1,0
2025-06-27,53,26.2,29.3,23.5,2.0,2.0,0.0,7.0,1,0
2025-06-28,3,22.9,25.5,20.2,0.0,0.0,0.0,0.0,0,0
2025-06-29,3,26.0,30.9,21.8,0.0,0.0,0.0,0.0,0,0
